lat,lon
50.3803900,-4.1412150
50.3803983,-4.1412083
50.3804033,-4.1412050
50.3804083,-4.1412000
50.3804150,-4.1411950
50.3804200,-4.1411933
50.3804250,-4.1411933
50.3804300,-4.1411917
50.3804333,-4.1411900
50.3804317,-4.1411867
50.3804300,-4.1411850
50.3804267,-4.1411967
50.3804167,-4.1412050
50.3804133,-4.1412100
50.3804117,-4.1412167
50.3804083,-4.1412267
50.3804183,-4.1412167
50.3804283,-4.1412083
50.3804300,-4.1412133
50.3804383,-4.1412117
50.3804533,-4.1412017
50.3804667,-4.1411917
50.3804717,-4.1411917
50.3804750,-4.1411950
50.3804750,-4.1412017
50.3804717,-4.1412133
50.3804667,-4.1412233
50.3804633,-4.1412317
50.3804617,-4.1412383
50.3804600,-4.1412450
50.3804583,-4.1412417
50.3804567,-4.1412383
50.3804550,-4.1412367
50.3804533,-4.1412433
50.3804500,-4.1412500
50.3804467,-4.1412533
50.3804400,-4.1412550
50.3804350,-4.1412550
50.3804317,-4.1412567
50.3804300,-4.1412517
50.3804283,-4.1412583
50.3804267,-4.1412633
50.3804267,-4.1412717
50.3804267,-4.1412783
50.3804267,-4.1412800
50.3804267,-4.1412800
50.3804283,-4.1412800
50.3804217,-4.1412700
50.3804133,-4.1412650
50.3804000,-4.1412600
50.3803817,-4.1412533
50.3803617,-4.1412483
50.3803383,-4.1412500
50.3803267,-4.1412500
50.3803167,-4.1412467
50.3803050,-4.1412450
50.3802967,-4.1412400
50.3802950,-4.1412400
50.3802933,-4.1412433
50.3802883,-4.1412533
50.3802833,-4.1412617
50.3802833,-4.1412683
50.3802833,-4.1412767
50.3802817,-4.1412817
50.3802783,-4.1412867
50.3802767,-4.1412917
50.3802783,-4.1413017
50.3802783,-4.1413100
50.3802800,-4.1413150
50.3802800,-4.1413167
50.3802817,-4.1413167
50.3802800,-4.1413150
50.3802800,-4.1413167
50.3802783,-4.1413200
50.3802750,-4.1413233
50.3802750,-4.1413217
50.3802733,-4.1413233
50.3802733,-4.1413283
50.3802750,-4.1413300
50.3802767,-4.1413333
50.3802783,-4.1413350
50.3802800,-4.1413367
50.3802800,-4.1413417
50.3802800,-4.1413483
50.3802800,-4.1413517
50.3802817,-4.1413433
50.3802867,-4.1413383
50.3802867,-4.1413383
50.3802833,-4.1413433
50.3802833,-4.1413483
50.3802833,-4.1413500
50.3802800,-4.1413450
50.3802800,-4.1413450
50.3802783,-4.1413500
50.3802817,-4.1413550
50.3802867,-4.1413533
50.3802967,-4.1413467
50.3803067,-4.1413417
50.3803100,-4.1413383
50.3803117,-4.1413367
50.3803133,-4.1413350
50.3803117,-4.1413267
50.3803083,-4.1413217
50.3803100,-4.1413150
50.3803100,-4.1413117
50.3803200,-4.1413050
50.3803167,-4.1413100
50.3803150,-4.1413100
50.3803133,-4.1413067
50.3803167,-4.1413033
